[run number],density,%-similar-wanted,[step],percent-similar
7,95,10,1,50.45285029302078
4,95,10,1,50.489937835844486
8,95,10,2,51.067919692439126
1,95,10,1,48.96328293736501
2,95,10,2,50.35200168120206
3,95,10,2,50.574957410562185
6,95,10,2,50.92235092235092
5,95,10,2,50.92426323016795
9,95,10,3,51.228553272611734
10,95,10,3,50.22297727755362
13,95,15,7,54.8237280979523
14,95,15,7,55.36741214057508
16,95,15,7,54.98300042498937
11,95,15,10,55.13593568179414
17,95,15,7,54.71818958155422
12,95,15,12,55.2357689039932
15,95,15,14,54.91968939474524
18,95,15,12,55.755864465682016
19,95,15,8,55.64498819489161
20,95,15,8,54.496083550913845
21,95,20,8,56.142401700318814
23,95,20,7,55.61576878121347
22,95,20,8,54.91299364384703
24,95,20,7,55.51537070524412
28,95,20,7,54.53964194373402
26,95,20,8,55.24326626211008
29,95,20,7,53.956834532374096
25,95,20,10,55.106682551716666
30,95,20,9,57.213668002531115
31,95,25,8,56.464829200808765
32,95,25,9,55.601659751037346
27,95,20,13,56.476629637392584
34,95,25,9,55.51839464882943
33,95,25,10,55.787798408488065
36,95,25,10,55.42040119504909
35,95,25,10,58.222783743946096
37,95,25,8,55.516950937039375
40,95,25,8,57.10686542095318
39,95,25,9,55.91580737748485
38,95,25,16,56.31016042780749
44,95,30,13,73.78453630327694
45,95,30,12,72.6906352741542
43,95,30,14,75.05339598462196
42,95,30,17,75.01602906603975
46,95,30,14,73.66237634294224
41,95,30,19,74.53389830508475
47,95,30,21,74.09462005442747
50,95,30,11,76.07655502392345
54,95,35,16,75.39974070872947
51,95,35,20,76.0642310593814
53,95,35,20,75.12652889076338
48,95,30,32,76.256
56,95,35,14,74.56289978678038
55,95,35,16,76.85047720042418
52,95,35,30,75.31113711307307
57,95,35,14,73.47670250896059
58,95,35,15,74.80779357556608
60,95,35,17,74.84134667096913
49,95,30,46,74.7495203581326
61,95,40,17,82.72268185236918
59,95,35,24,75.02137665669089
63,95,40,17,83.43408632940927
64,95,40,17,82.54576415495956
62,95,40,28,83.3635104910001
66,95,40,22,83.59855718226183
67,95,40,22,84.52214952268584
68,95,40,20,82.80261723009814
69,95,40,19,83.7547068316299
65,95,40,33,83.6710875331565
70,95,40,16,83.05793766994353
71,95,45,25,85.28467465753424
72,95,45,25,86.31351351351351
74,95,45,21,85.84127664131948
76,95,45,21,86.6405339548681
73,95,45,26,86.130389064143
77,95,45,26,87.47205960617349
75,95,45,35,86.28886766422583
79,95,45,22,87.35353108835639
78,95,45,36,87.15538185275167
80,95,45,27,85.14914321980113
81,95,50,24,84.74131598278937
84,95,50,19,87.01326717721929
85,95,50,22,85.67755757900375
83,95,50,31,86.92845615922539
82,95,50,32,86.54130572575534
86,95,50,23,85.5725109380002
87,95,50,20,87.09879769994772
88,95,50,23,86.97153620761824
89,95,50,25,86.64085188770572
90,95,50,41,88.02061421960454
95,95,55,57,95.22078477493852
91,95,55,69,95.25848228620357
93,95,55,109,95.70824524312897
92,95,55,120,95.6875594546031
96,95,55,114,95.85600669736291
97,95,55,112,95.44201823192708
98,95,55,121,96.29707775081759
100,95,55,90,94.73400237401532
94,95,55,180,95.49568736023852
99,95,55,233,96.6450668896321
104,95,60,490,98.80004247637252
105,95,60,460,98.89589905362776
106,95,60,488,98.74908020603385
101,95,60,770,98.9365096245879
108,95,60,590,98.99075746308297
103,95,60,890,99.28375816305035
102,95,60,1000,99.04316172646905
107,95,60,1000,98.72255067567568
112,95,65,472,99.00613237470924
115,95,65,282,98.93537740870862
111,95,65,798,99.14261815140108
109,95,60,1000,98.56122775231803
114,95,65,566,99.03468759944839
110,95,60,1000,98.73497124934659
113,95,65,746,99.05800169348011
118,95,65,378,98.95249179980954
120,95,65,474,98.90611724723874
119,95,65,577,99.1564740615774
117,95,65,752,98.92078792958927
116,95,65,1000,98.46912026842823
122,95,70,729,99.81022667369531
123,95,70,1000,99.009588030766
121,95,70,1000,98.01276017153018
124,95,70,1000,97.78103412183378
125,95,70,1000,99.28806715545639
129,95,70,737,99.72425495810796
126,95,70,1000,99.49579831932773
128,95,70,1000,99.31246033425005
127,95,70,1000,98.34443981674302
130,95,70,1000,98.74578414839797
131,95,75,767,99.88340046639813
133,95,75,884,99.86376021798365
132,95,75,1000,95.1827242524917
135,95,75,1000,98.42503149937001
134,95,75,1000,96.21547543748682
136,95,75,1000,94.87904492617028
137,95,75,1000,98.837823560486
139,95,75,735,99.87408184679958
138,95,75,864,99.86281131279021
140,95,75,1000,95.04415584415584
143,95,80,1000,51.28755364806867
145,95,80,1000,51.60944206008584
141,95,80,1000,51.55882980995089
147,95,80,1000,51.920372173536734
142,95,80,1000,50.4136614340263
144,95,80,1000,51.68716493219805
146,95,80,1000,52.10304942166141
148,95,80,1000,50.613562970936485
151,95,85,1000,51.03566090113175
149,95,80,1000,50.137916401442816
153,95,85,1000,50.08999470619375
150,95,80,1000,50.92076186467431
152,95,85,1000,50.309191908604966
154,95,85,1000,50.16934801016089
155,95,85,1000,51.06520335700452
156,95,85,1000,51.9166756147321
157,95,85,1000,50.5793991416309
158,95,85,1000,50.24494142705005
160,95,85,1000,50.317306658061746
159,95,85,1000,50.90233545647559
161,95,90,1000,50.48376693184261
162,95,90,1000,49.15218086808147
163,95,90,1000,50.28069060480881
164,95,90,1000,50.54736842105263
165,95,90,1000,49.29891650732951
166,95,90,1000,49.340706082518075
169,95,90,1000,49.679760888129806
167,95,90,1000,51.50748471431583
168,95,90,1000,50.860969387755105
170,95,90,1000,49.75640754077526
